iso3,regimen,mejor,familia,mae,mae_ingenuo,ganancia_pct,p,p_holm,n
ARG,calma,Comb. RF/ingenuo suave,combinacion,4.545975031737795,5.186016789962845,12.34168310954573,0.4078359771028024,1.0,33
ARG,ruptura,Comb. LSTM/AR(1) suave,combinacion,9.632679985941074,14.120960306342775,,,,2
BOL,calma,AR(1),Box-Jenkins,1.2409724942885305,1.3333244398916202,6.926442120163678,0.6052715976832734,1.0,33
BOL,ruptura,Random Forest,aprendizaje,13.099640024463948,18.487353964000313,,,,2
BRA,calma,LSTM(16),red neuronal,1.8776389309555082,2.3689806438623267,18.269425713554043,0.21370054916099124,1.0,31
BRA,ruptura,Comb. RF/AR(1) suave,combinacion,3.407706841422472,6.26844989782085,,,,2
CHL,calma,AR(1),Box-Jenkins,2.1112065284131525,2.406976537060959,12.288030402197304,0.372515885669512,1.0,33
CHL,ruptura,"ARMA(2,2)",Box-Jenkins,8.195772121014981,12.130510263000211,,,,2
COL,calma,Comb. RF/AR(1) dura,combinacion,1.6972857205895393,2.0100231339912247,15.558896219303453,0.11975580137206825,1.0,33
COL,ruptura,LSTM(16),red neuronal,9.146997842707629,14.179940929080153,,,,2
CRI,calma,LSTM(16),red neuronal,1.3000859951722217,1.7618970371975542,19.26508101175759,0.15890120704317207,1.0,31
CRI,ruptura,LSTM(16),red neuronal,6.320712935122322,9.604752740330635,,,,2
CUB,calma,AR(1),Box-Jenkins,1.7942918310342415,2.0832123876033846,13.868991865084357,0.4064033661738686,1.0,22
CUB,ruptura,Ridge sobre rezagos,regularizado,8.506692431157836,11.495135969468897,,,,2
DOM,calma,AR(1),Box-Jenkins,2.3084969121974463,3.2865030040790337,29.758259483339522,0.016985707660239754,0.16985707660239754,33
DOM,ruptura,Random Forest,aprendizaje,10.816094540356612,17.38228185290016,,,,2
ECU,calma,Comb. RF/AR(1) umbral min,combinacion,2.1842363526323676,3.001366955751783,27.225281518925115,0.008916499581988143,0.09808149540186957,33
ECU,ruptura,Comb. LSTM/AR(1) suave,combinacion,9.967237194220345,14.038744769126955,,,,2
GTM,calma,Comb. RF/AR(1) suave,combinacion,0.8108199220211348,1.1365007329532264,28.65645410415193,0.02588815734284327,0.2017767945404945,33
GTM,ruptura,Comb. LSTM/AR(1) suave,combinacion,4.989250386758432,7.815352324291751,,,,2
HND,calma,Ingenuo,referencia,3.1142496229247723,3.1142496229247723,,,,33
HND,ruptura,Comb. LSTM/AR(1) suave,combinacion,10.99505684987393,16.527541594198482,,,,2
HTI,calma,LSTM(16),red neuronal,2.8597374678551923,3.437057441519783,15.882090457539544,0.2806818997086727,1.0,31
HTI,ruptura,Ingenuo,referencia,1.5448370258053403,1.5448370258053403,,,,2
MEX,calma,"ARMA(2,2)",Box-Jenkins,2.124576684122581,2.582359941137181,17.72732180832267,0.15504616205789237,1.0,33
MEX,ruptura,LSTM(16),red neuronal,7.386029368291078,11.181931073013214,,,,2
NIC,calma,Ingenuo,referencia,1.991311042262525,1.991311042262525,,,,33
NIC,ruptura,AR(1),Box-Jenkins,6.271692454109899,6.675629324470255,,,,2
PAN,calma,LSTM(16),red neuronal,1.9743143709441826,2.5713940862456863,25.650221261097972,0.03397283086582752,0.3737011395241028,31
PAN,ruptura,Random Forest,aprendizaje,17.713969673900223,27.606093986748228,,,,2
PER,calma,AR(1),Box-Jenkins,2.4087569161746942,3.15862852317447,23.740417763534396,0.044237792826930536,0.44237792826930533,33
PER,ruptura,Comb. LSTM/AR(1) suave,combinacion,12.567322504647262,18.761945191739095,,,,2
PRY,calma,Comb. RF/AR(1) umbral min,combinacion,2.6206314446071386,2.9835868172210085,12.165068250031219,0.09538513901773517,1.0,33
PRY,ruptura,AR(1),Box-Jenkins,2.5882690219215467,2.616165394289586,,,,2
SLV,calma,Comb. RF/AR(1) umbral min,combinacion,1.0112542572888064,1.4695530068867733,31.186268712339004,0.057242968137599354,0.6296726495135929,28
SLV,ruptura,Comb. LSTM/AR(1) suave,combinacion,10.531077079229012,15.06421800599377,,,,2
URY,calma,AR(1),Box-Jenkins,2.6771986294282972,3.126896905980377,14.381615066745724,0.1703478067125143,1.0,33
URY,ruptura,Comb. LSTM/AR(1) suave,combinacion,6.865436942780272,10.74363920783659,,,,2
VEN,calma,Ingenuo,referencia,5.330368850134749,5.330368850134749,,,,33
VEN,ruptura,LSTM(16),red neuronal,15.721944626754464,16.327537593985006,,,,2
