origen,peso_robusto,real_siguiente
2015-12-01 00:00:00,0.0,1.7843989699940277
2016-01-01 00:00:00,0.0,4.451860851829181
2016-02-01 00:00:00,0.0,1.195828475280969
2016-03-01 00:00:00,0.0,2.884803634105615
2016-04-01 00:00:00,0.0,1.809679601898706
2016-05-01 00:00:00,0.0,2.341450844397075
2016-06-01 00:00:00,0.0,-1.5739129122687823
2016-07-01 00:00:00,0.0,3.3639592395552143
2016-08-01 00:00:00,0.0,2.3546499730892956
2016-09-01 00:00:00,0.0,1.3254548911656672
2016-10-01 00:00:00,0.0,3.0802989422748617
2016-11-01 00:00:00,0.0,3.250508638379501
2016-12-01 00:00:00,0.0,1.4471669469336979
2017-01-01 00:00:00,0.0,-0.3589166448412562
2017-02-01 00:00:00,0.0,2.4825177018663824
2017-03-01 00:00:00,0.0,-0.32146396143379885
2017-04-01 00:00:00,0.0,1.3544076613417388
2017-05-01 00:00:00,0.0,2.881287855033965
2017-06-01 00:00:00,0.0,3.6821297780100792
2017-07-01 00:00:00,0.0,1.057635845000715
2017-08-01 00:00:00,0.0,0.49033518986971725
2017-09-01 00:00:00,0.0,1.1995095696962776
2017-10-01 00:00:00,0.0,0.9647411293081776
2017-11-01 00:00:00,0.0,1.7060514606020982
2017-12-01 00:00:00,0.0,1.5654099373241026
2018-01-01 00:00:00,0.0,1.5770665195815603
2018-02-01 00:00:00,0.0,1.6148001360216657
2018-03-01 00:00:00,0.0,4.0273137155159455
2018-04-01 00:00:00,0.0,2.208867023790595
2018-05-01 00:00:00,0.0,1.7539831877094958
2018-06-01 00:00:00,0.0,2.966362140139278
2018-07-01 00:00:00,0.0,3.1033168720315363
2018-08-01 00:00:00,0.0,2.500067950772844
2018-09-01 00:00:00,0.0,3.547013602961302
2018-10-01 00:00:00,0.0,3.413034634795964
2018-11-01 00:00:00,0.0,1.8755730508588364
2018-12-01 00:00:00,0.0,3.6572014274797837
2019-01-01 00:00:00,0.0,3.523998520631566
2019-02-01 00:00:00,0.0,3.348658423710371
2019-03-01 00:00:00,0.0,2.4160679857166523
2019-04-01 00:00:00,0.0,4.212467570390599
2019-05-01 00:00:00,0.0,2.4472601495796997
2019-06-01 00:00:00,0.0,4.284822490962559
2019-07-01 00:00:00,0.0,2.5275644604989767
2019-08-01 00:00:00,0.0,2.0030685572016482
2019-09-01 00:00:00,0.0,3.1734723509095675
2019-10-01 00:00:00,0.0,2.3452733036335216
2019-11-01 00:00:00,0.0,3.0147948444819495
2019-12-01 00:00:00,0.0,3.393472614997406
2020-01-01 00:00:00,0.0,3.5951920669581527
2020-02-01 00:00:00,0.0,-6.289346100232862
2020-03-01 00:00:00,1.0,-20.195194204176914
2020-04-01 00:00:00,1.0,-17.428367439153025
2020-05-01 00:00:00,1.0,-12.540164765225736
2020-06-01 00:00:00,1.0,-10.639637551522407
2020-07-01 00:00:00,1.0,-10.389555164403808
2020-08-01 00:00:00,1.0,-6.462847566547958
2020-09-01 00:00:00,1.0,-4.674781094607483
2020-10-01 00:00:00,1.0,-3.6520931144168434
2020-11-01 00:00:00,1.0,-2.159492982055289
2020-12-01 00:00:00,0.0,-3.359345313804174
2021-01-01 00:00:00,0.0,-3.1554283932496707
2021-02-01 00:00:00,0.0,11.20403642761838
2021-03-01 00:00:00,1.0,25.439138020790875
2021-04-01 00:00:00,1.0,13.277368414515923
2021-05-01 00:00:00,1.0,15.402785888200764
2021-06-01 00:00:00,1.0,13.192915812715
2021-07-01 00:00:00,1.0,11.699017752583707
2021-08-01 00:00:00,1.0,13.462959208917313
2021-09-01 00:00:00,1.0,10.15877922403794
2021-10-01 00:00:00,1.0,10.518652815673747
2021-11-01 00:00:00,1.0,10.282818380546143
2021-12-01 00:00:00,1.0,7.988335987557793
2022-01-01 00:00:00,0.0,6.686076852153766
2022-02-01 00:00:00,0.0,6.990866679970109
2022-03-01 00:00:00,0.0,10.424961295612967
2022-04-01 00:00:00,0.0,16.753182568684455
2022-05-01 00:00:00,0.17118532914068213,7.754332611409609
2022-06-01 00:00:00,0.7747250910330312,5.976802368413026
2022-07-01 00:00:00,0.7033888775436267,8.68520616002273
2022-08-01 00:00:00,0.5644389506261577,4.206454730095621
2022-09-01 00:00:00,0.5477547733449963,4.103535149964266
2022-10-01 00:00:00,0.6331881285789678,0.11374940256343447
2022-11-01 00:00:00,0.47078435924750917,0.5659254149769977
2022-12-01 00:00:00,0.6117729786459927,4.288948014042071
2023-01-01 00:00:00,0.49850775369307965,2.478413285110781
2023-02-01 00:00:00,0.0,1.4554773434255264
2023-03-01 00:00:00,0.0,-0.7366729780456271
2023-04-01 00:00:00,0.0,0.29242184749149747
2023-05-01 00:00:00,0.0,2.516000131533813
2023-06-01 00:00:00,0.0,0.6109304479767319
2023-07-01 00:00:00,0.0,0.6608515202382481
2023-08-01 00:00:00,0.0,-0.4739736853440091
2023-09-01 00:00:00,0.0,-0.6547165073053418
2023-10-01 00:00:00,0.0,3.7186627535746197
2023-11-01 00:00:00,0.0,0.8278973363634146
2023-12-01 00:00:00,0.0,1.64003119213596
2024-01-01 00:00:00,0.0,2.262780790238894
2024-02-01 00:00:00,0.0,-2.270542620912719
2024-03-01 00:00:00,0.0,5.409986698638258
2024-04-01 00:00:00,0.4001664004541619,2.027986193076714
2024-05-01 00:00:00,0.3510766468881067,-2.0986513232682413
2024-06-01 00:00:00,0.20154377016387387,2.945873684210265
2024-07-01 00:00:00,0.21662553201104398,1.2261275321314935
2024-08-01 00:00:00,0.23717461486460573,0.5923234177251269
2024-09-01 00:00:00,0.2486122804102714,3.598788069074188
2024-10-01 00:00:00,0.10460544319750213,0.41177685722004753
2024-11-01 00:00:00,0.07919058043662745,3.61132888612552
2024-12-01 00:00:00,0.0,2.025554222663928
2025-01-01 00:00:00,0.0,1.1816208207961143
2025-02-01 00:00:00,0.0,4.492629808647175
2025-03-01 00:00:00,0.0,-0.09167105984454471
2025-04-01 00:00:00,0.0,2.1527050085237143
2025-05-01 00:00:00,0.0,3.434797938137324
