iso3,regimen,modelo,mae_rel,dm_p,gana_sig
CHL,calma,"ARMA(2,2)",1.0897411335035672,0.5775785699295256,False
CHL,calma,Comb. RF/AR(1) suave,1.105018050752692,0.5355358941204539,False
CHL,calma,Comb. RF/AR(1) dura,1.1061698486575222,0.5416604503803955,False
CHL,calma,Comb. RF/ingenuo suave,1.1075132991499628,0.5230408390943022,False
CHL,calma,Random Forest,1.1678436965170993,0.28021840362076933,False
CHL,calma,Ridge sobre rezagos,1.1679092029371902,0.30473094813889556,False
CHL,ruptura,"ARMA(2,2)",0.675632924198849,,False
CHL,ruptura,Comb. LSTM/AR(1) suave,0.7331527051317978,,False
CHL,ruptura,LSTM(16),0.7332217816196591,,False
CHL,ruptura,Comb. RF/AR(1) umbral min,0.8166182983852293,,False
CHL,ruptura,AR(1),0.8210981535577878,,False
CHL,ruptura,"ARIMA(1,1,1)",0.8215115385755636,,False
CHL,ruptura,Comb. RF/AR(1) suave,0.8308416518597388,,False
CHL,ruptura,Comb. RF/AR(1) dura,0.8308416518597388,,False
CHL,ruptura,Comb. RF/ingenuo suave,0.8308416518597388,,False
CHL,ruptura,Ridge sobre rezagos,0.8363015796149016,,False
CHL,ruptura,Random Forest,0.851993524182683,,False
CHL,ruptura,Ingenuo,1.0,,False
CHL,ruptura,Deriva,1.0046806350106952,,False
COL,calma,Comb. RF/AR(1) dura,0.8444110378069655,0.11975580137206826,False
COL,calma,Comb. RF/AR(1) umbral min,0.8494154282843658,0.11712620253691718,False
COL,calma,Comb. RF/AR(1) suave,0.8591248907438962,0.21259239110645778,False
COL,calma,AR(1),0.8620856080516157,0.1411421380161942,False
COL,calma,Random Forest,0.8741114204911942,0.2904428698213193,False
COL,calma,Comb. RF/ingenuo suave,0.8839627544306341,0.2189535509998035,False
COL,calma,LSTM(16),0.9165024718200048,0.5808943460886842,False
COL,calma,"ARIMA(1,1,1)",0.9418285512819659,0.4195997696437087,False
COL,calma,Ingenuo,1.0,,False
COL,calma,Deriva,1.0125096422945592,0.03201454596542365,False
